Gene name 	Wormbase ID 	Imaged 	Lineaged 	Phenotypes 	Required for cellular function
tbca-1 	WBGene00021475 	Yes 	Yes 		
tbcd-1 	WBGene00008887 	Yes 	Yes 	1 	Yes
tct-1 	WBGene00009122 	Yes 	Yes 	2 	Yes, embryonic lethal
tdpt-1 	WBGene00013405 	Yes 	Yes 	1 	Yes
teg-4 	WBGene00019323 	Yes 	Yes 	6 	Yes, embryonic lethal
thoc-3 	WBGene00009341 	Yes 	Yes 	1 	Yes
tin-13 	WBGene00006574 	Yes 	Yes 		
tin-44 	WBGene00020383 	Yes 	Yes 	4 	Yes, embryonic lethal
tlf-1 	WBGene00006577 	Yes 	Yes 	4 	Yes, embryonic lethal
tln-1 	WBGene00006771 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
toe-4 	WBGene00012194 	Yes 	Yes 		
tol-1 	WBGene00006593 	Yes 	Yes 		
top-1 	WBGene00006595 	Yes 	Yes 	3 	Yes
tppp-1 	WBGene00016321 	Yes 	Yes 	1 	Yes
trak-1 	WBGene00020838 	Yes 	Yes 	1 	Yes
tre-1 	WBGene00006607 	Yes 	Yes 		
trpp-10 	WBGene00022138 	Yes 	Yes 		
trpp-8 	WBGene00018512 	Yes 	Yes 		
ttm-5 	WBGene00013197 	Yes 	Yes 	2 	Yes
ttx-7 	WBGene00008765 	Yes 	Yes 		
tub-2 	WBGene00022139 	Yes 	Yes 		
txl-1 	WBGene00021826 	Yes 	Yes 	2 	Yes
tyms-1 	WBGene00022455 	Yes 	Yes 	3 	Yes, embryonic lethal
uba-2 	WBGene00006700 	Yes 	Yes 	6 	Yes, embryonic lethal
uba-5 	WBGene00020184 	Yes 	Yes 		
ubc-12 	WBGene00006707 	Yes 	Yes 	4 	Yes, embryonic lethal
ubc-16 	WBGene00006711 	Yes 	Yes 		
ubc-25 	WBGene00006720 	Yes 	Yes 	2 	Yes
ubc-3 	WBGene00006702 	Yes 	Yes 		
ubl-5 	WBGene00006726 	Yes 	Yes 	1 	Yes
ubql-1 	WBGene00008852 	Yes 	Yes 		
ubr-1 	WBGene00016326 	Yes 	Yes 		
ubxn-1 	WBGene00017733 	Yes 	Yes 		
uev-1 	WBGene00006730 	Yes 	Yes 		
unc-101 	WBGene00006829 	Yes 	Yes 		
unc-108 	WBGene00006833 	Yes 	Yes 		
unc-11 	WBGene00006751 	Yes 	Yes 		
unc-37 	WBGene00006773 	Yes 	Yes 	3 	Yes, embryonic lethal
unc-40 	WBGene00006776 	Yes 	Yes 	1 	Yes
unc-54 	WBGene00006789 	Yes 	Yes 		
unc-59 	WBGene00006793 	Yes 	Yes 		
unc-73 	WBGene00006805 	Yes 	Yes 	1 	Yes
unc-75 	WBGene00006807 	Yes 	Yes 		
unc-94 	WBGene00006823 	Yes 	Yes 		
usp-3 	WBGene00013506 	Yes 	Yes 		
usp-5 	WBGene00020839 	Yes 	Yes 	4 	Yes
vab-10 	WBGene00006876 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
vha-10 	WBGene00006919 	Yes 	Yes 	1 	Yes, embryonic lethal
vha-16 	WBGene00016258 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
viln-1 	WBGene00015691 	Yes 	Yes 		
vpr-1 	WBGene00018008 	Yes 	Yes 		
vps-20 	WBGene00022027 	Yes 	Yes 	1 	Yes
vps-25 	WBGene00012193 	Yes 	Yes 		
vps-28 	WBGene00013598 	Yes 	Yes 	1 	Yes
vps-34 	WBGene00006932 	Yes 	Yes 		
vps-4 	WBGene00021334 	Yes 	Yes 	4 	Yes, embryonic lethal
vps-51 	WBGene00015176 	Yes 	Yes 		
W02A11.1 	WBGene00012192 	Yes 	Yes 	1 	Yes
W02D3.4 	WBGene00020933 	Yes 	Yes 		
W02D9.2 	WBGene00012208 	Yes 	Yes 		
W04A4.5 (ints-4) 	WBGene00012234 	Yes 	Yes 	4 	Yes, embryonic lethal
W08E3.2 (casc-3) 	WBGene00012343 	Yes 	Yes 		
W09C5.7 (sac-2) 	WBGene00012353 	Yes 	Yes 		
W09C5.8 (cox-4) 	WBGene00012354 	Yes 	Yes 	4 	Yes, embryonic lethal
W09G3.6 	WBGene00012369 	Yes 	Yes 		
W09G3.7 	WBGene00012370 	Yes 	Yes 	1 	Yes
wdr-12 	WBGene00018893 	Yes 	Yes 		
wdr-23 	WBGene00008419 	Yes 	Yes 		
wts-1 	WBGene00007047 	Yes 	Yes 		
wve-1 	WBGene00006958 	Yes 	Yes 	2 	Yes
wwp-1 	WBGene00007009 	Yes 	Yes 	2 	Yes, embryonic lethal
xpa-1 	WBGene00006963 	Yes 	Yes 		
xpo-2 	WBGene00002079 	Yes 	No (embryonic arrest) 		NA (embryonic lethal)
Y105E8A.11 	WBGene00013671 	Yes 	Yes 		
Y105E8A.14 	WBGene00013674 	Yes 	Yes 	3 	Yes
Y105E8A.2 	WBGene00013667 	Yes 	Yes 		
Y105E8A.20 	WBGene00013678 	Yes 	Yes 		
Y105E8A.25 	WBGene00013682 	Yes 	Yes 		
Y105E8A.3 (slc-30A5) 	WBGene00013668 	Yes 	Yes 		
Y105E8A.8 (tcab-1) 	WBGene00013669 	Yes 	Yes 		
Y105E8B.7 	WBGene00013692 	Yes 	Yes 		
Y106G6D.5 	WBGene00014965 	Yes 	Yes 		
Y106G6D.7 (rbm-12) 	WBGene00013703 	Yes 	Yes 	2 	Yes
Y106G6E.4 	WBGene00013708 	Yes 	Yes 		
Y106G6H.14 	WBGene00013724 	Yes 	Yes 	1 	Yes
Y106G6H.5 (pdpr-1) 	WBGene00013718 	Yes 	Yes 		
Y106G6H.8 	WBGene00013720 	Yes 	Yes 		
Y110A7A.9 	WBGene00022459 	Yes 	Yes 		
Y119C1B.5 (rnf-145) 	WBGene00022471 	Yes 	Yes 		
Y18D10A.3 	WBGene00012476 	Yes 	Yes 		
Y18D10A.9 (ciao-1) 	WBGene00012479 	Yes 	Yes 	2 	Yes, embryonic lethal
Y23H5B.5 	WBGene00021276 	Yes 	Yes 	4 	Yes
Y23H5B.6 (ddx-10) 	WBGene00021277 	Yes 	Yes 		Yes, embryonic lethal
Y34D9A.7 	WBGene00021332 	Yes 	Yes 	5 	Yes
Y37E3.1 	WBGene00021346 	Yes 	Yes 	1 	Yes
Y37E3.10 (eif-2alpha) 	WBGene00021351 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
Y39G10AR.8 (eif-2gamma) 	WBGene00021466 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
Y40B1B.8 (slc-25A46) 	WBGene00012740 	Yes 	Yes 		
Y44E3A.4 (cdap-2) 	WBGene00021549 	Yes 	Yes 		
Y44E3A.6 (edc-4) 	WBGene00021551 	Yes 	Yes 	2 	Yes
Y47D9A.1 	WBGene00021628 	Yes 	Yes 	6 	Yes
Y47G6A.18 	WBGene00021644 	Yes 	Yes 		
Y47G6A.7 	WBGene00021637 	Yes 	Yes 		
Y47H9C.7 (eif-2Bbeta) 	WBGene00012950 	Yes 	Yes 	4 	Yes, embryonic lethal
Y48G10A.1 	WBGene00013018 	Yes 	Yes 		
Y48G10A.3 	WBGene00013020 	Yes 	Yes 		
Y48G1A.4 (nol-14) 	WBGene00021660 	Yes 	Yes 	1 	Yes
Y48G1C.10 	WBGene00021683 	Yes 	Yes 		
Y48G1C.12 	WBGene00044345 	Yes 	Yes 		
Y48G8AL.13 	WBGene00021691 	Yes 	Yes 	1 	Yes
Y48G8AL.5 (nsun-2) 	WBGene00021686 	Yes 	Yes 		
Y52B11A.10 	WBGene00013129 	Yes 	Yes 		
Y52B11C.1 (pigl-1) 	WBGene00013131 	Yes 	Yes 		
Y54E10A.6 	WBGene00021828 	Yes 	Yes 		
Y54E10BR.2 	WBGene00021841 	Yes 	Yes 		
Y54E10BR.3 	WBGene00021842 	Yes 	Yes 		
Y54E10BR.4 	WBGene00021843 	Yes 	Yes 	2 	Yes
Y54E5A.5 	WBGene00013200 	Yes 	Yes 		
Y54E5A.6 (dus-2) 	WBGene00013201 	Yes 	Yes 	1 	Yes
Y54E5A.7 (gid-1) 	WBGene00013202 	Yes 	Yes 		
Y63D3A.7 	WBGene00013406 	Yes 	Yes 	2 	Yes
Y65B4A.1 (cus-2) 	WBGene00022025 	Yes 	Yes 		
Y65B4A.6 	WBGene00022029 	Yes 	Yes 	4 	Yes
Y65B4A.8 	WBGene00022031 	Yes 	Yes 		
Y6B3B.4 	WBGene00012389 	Yes 	Yes 		
Y6B3B.5 (gpap-1) 	WBGene00012390 	Yes 	Yes 	3 	Yes
Y6B3B.9 	WBGene00012393 	Yes 	Yes 	3 	Yes
Y71F9AL.1 	WBGene00022107 	Yes 	Yes 		
Y71F9B.2 	WBGene00022126 	Yes 	Yes 	6 	Yes
Y71F9B.6 	WBGene00022128 	Yes 	Yes 		
Y73E7A.2 (aatf-1) 	WBGene00022269 	Yes 	Yes 	1 	Yes
Y87G2A.13 	WBGene00013601 	Yes 	Yes 		
Y87G2A.2 	WBGene00013594 	Yes 	Yes 		
Y92H12A.2 	WBGene00022358 	Yes 	Yes 	1 	Yes
Y92H12A.4 (ints-3) 	WBGene00022360 	Yes 	Yes 		
Y95B8A.8 (zfr-1) 	WBGene00022388 	Yes 	Yes 		
yop-1 	WBGene00022127 	Yes 	Yes 		
ZC434.8 	WBGene00013894 	Yes 	Yes 		
zfh-2 	WBGene00022518 	Yes 	Yes 		
zhp-3 	WBGene00006976 	Yes 	Yes 	1 	Yes
ZK265.6 (nol-16) 	WBGene00013958 	Yes 	Yes 		
ZK524.4 	WBGene00013994 	Yes 	Yes 		
ZK858.6 	WBGene00014119 	Yes 	Yes 		
ZK858.7 	WBGene00014120 	Yes 	Yes 	1 	Yes
ZK909.3 	WBGene00014148 	Yes 	Yes 	1 	Yes
ZK973.1 	WBGene00022830 	Yes 	Yes 	1 	Yes
ZK973.11 	WBGene00022836 	Yes 	Yes 	1 	Yes
ztf-11 	WBGene00009939 	Yes 	Yes 	1 	Yes, embryonic lethal
