Gene name 	Wormbase ID 	Imaged 	Lineaged 	Phenotypes 	Required for cellular function
imb-3 	WBGene00002077 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
imp-1 	WBGene00007979 	Yes 	Yes 		
impt-1 	WBGene00013122 	Yes 	Yes 		
inst-1 (ints-1) 	WBGene00015499 	Yes 	Yes 	4 	Yes, embryonic lethal
irx-1 	WBGene00007984 	Yes 	Yes 		
jmjc-1 	WBGene00020902 	Yes 	Yes 	5 	Yes, embryonic lethal
jph-1 	WBGene00002179 	Yes 	Yes 	1 	Yes
K02B12.5 (tnsl-1) 	WBGene00010498 	Yes 	Yes 		
K02B12.7 	WBGene00010500 	Yes 	Yes 		
K04F10.7 	WBGene00019399 	Yes 	Yes 	1 	Yes
K07A1.3 	WBGene00010610 	Yes 	Yes 		
K07A1.9 (ate-1) 	WBGene00010615 	Yes 	Yes 		
K07A12.1 	WBGene00010620 	Yes 	Yes 		
K07A12.4 (hbs-1) 	WBGene00010622 	Yes 	Yes 	2 	Yes
K09H9.2 (dscc-1) 	WBGene00019595 	Yes 	Yes 		
K10C3.4 	WBGene00010731 	Yes 	Yes 	3 	Yes
K11B4.2 (blos-9) 	WBGene00010767 	Yes 	Yes 		
K11D2.5 (mter-4) 	WBGene00010771 	Yes 	Yes 	1 	Yes, embryonic lethal
K12C11.1 	WBGene00019673 	Yes 	Yes 	2 	Yes
kal-1 	WBGene00002181 	Yes 	Yes 		
kin-10 	WBGene00002196 	Yes 	Yes 	4 	Yes, embryonic lethal
kin-32 	WBGene00002213 	Yes 	Yes 		
klp-15 	WBGene00002225 	Yes 	Yes 	6 	Yes, embryonic lethal
klp-16 	WBGene00002226 	Yes 	Yes 	6 	Yes, embryonic lethal
kpc-1 	WBGene00002232 	Yes 	Yes 		
ksr-2 	WBGene00002240 	Yes 	Yes 		
larp-5 	WBGene00004147 	Yes 	Yes 		
lars-2 	WBGene00003074 	Yes 	Yes 	3 	Yes
lbp-5 	WBGene00002257 	Yes 	Yes 	1 	Yes
lbp-6 	WBGene00002258 	Yes 	Yes 	2 	Yes
lem-3 	WBGene00002276 	Yes 	Yes 		
let-355 	WBGene00020263 	Yes 	Yes 	2 	Yes
let-381 	WBGene00002601 	Yes 	Yes 		
let-49 	WBGene00002324 	Yes 	Yes 	4 	Yes
let-504 	WBGene00002696 	Yes 	Yes 	1 	Yes
let-526 	WBGene00002717 	Yes 	Yes 	6 	Yes, embryonic lethal
let-607 	WBGene00002783 	Yes 	No (embryonic arrest) 		NA (embryonic lethal)
let-611 	WBGene00016750 	Yes 	Yes 		
let-630 	WBGene00002804 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
lid-1 	WBGene00007711 	Yes 	Yes 		
lin-28 	WBGene00003014 	Yes 	Yes 		
lin-35 	WBGene00003020 	Yes 	Yes 	1 	Yes
lin-41 	WBGene00003026 	Yes 	Yes 		
